customer_id,first_name,last_name,email,phone_number,registration_date
C00001,FirstName1,LastName1,customer1@example.com,+1-800-4303462,1618258284425
C00002,FirstName2,LastName2,customer2@example.com,+1-800-5030124,1704139884425
C00003,FirstName3,LastName3,customer3@example.com,+1-800-1509832,1731183084425
C00004,FirstName4,LastName4,customer4@example.com,+1-800-4325362,1578341484425
C00005,FirstName5,LastName5,customer5@example.com,+1-800-1672403,1678911084425
C00006,FirstName6,LastName6,customer6@example.com,+1-800-4259148,1450123884425
C00007,FirstName7,LastName7,customer7@example.com,+1-800-3999375,1679861484425
C00008,FirstName8,LastName8,customer8@example.com,+1-800-8384456,1558383084425
C00009,FirstName9,LastName9,customer9@example.com,+1-800-3326335,1517688684425
C00010,FirstName10,LastName10,customer10@example.com,+1-800-8093930,1604088684425
C00011,FirstName11,LastName11,customer11@example.com,+1-800-2786639,1431375084425
C00012,FirstName12,LastName12,customer12@example.com,+1-800-7746930,1699819884425
C00013,FirstName13,LastName13,customer13@example.com,+1-800-7376342,1729800684425
C00014,FirstName14,LastName14,customer14@example.com,+1-800-3813904,1574885484425
C00015,FirstName15,LastName15,customer15@example.com,+1-800-4170769,1479845484425
C00016,FirstName16,LastName16,customer16@example.com,+1-800-5189045,1498507884425
C00017,FirstName17,LastName17,customer17@example.com,+1-800-9659356,1726171884425
C00018,FirstName18,LastName18,customer18@example.com,+1-800-4459275,1558815084425
C00019,FirstName19,LastName19,customer19@example.com,+1-800-5596324,1525205484425
C00020,FirstName20,LastName20,customer20@example.com,+1-800-4170569,1466280684425
C00021,FirstName21,LastName21,customer21@example.com,+1-800-4160747,1711483884425
C00022,FirstName22,LastName22,customer22@example.com,+1-800-9729740,1442434284425
C00023,FirstName23,LastName23,customer23@example.com,+1-800-3716160,1546287084425
C00024,FirstName24,LastName24,customer24@example.com,+1-800-5926846,1429042284425
C00025,FirstName25,LastName25,customer25@example.com,+1-800-7622108,1435435884425
C00026,FirstName26,LastName26,customer26@example.com,+1-800-9621812,1579723884425
C00027,FirstName27,LastName27,customer27@example.com,+1-800-5892823,1589227884425
C00028,FirstName28,LastName28,customer28@example.com,+1-800-8595596,1576699884425
